,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2020/04/20 04:00:00+00,0.200000,6.300000,1.200000,1.900000,18.200000,34.900000,0,0.500000,66.100000,22,11.900000,,5.500000,6.500000,0.900000,0.500000,1,0.100000,1.300000,0.200000,0.800000,0.400000,0.700000,0.800000,0.900000,0.500000,0.200000,0.900000,0,0.600000,0.400000,0.100000,0.300000,1.700000,0,0.200000,0.100000,0.200000,10.700000,0,2648
2020/04/20 05:00:00+00,0.200000,11.800000,2,5.600000,18.900000,59.200000,0.400000,0.400000,97.500000,32.400000,25.500000,,0.800000,12,2.500000,2.100000,1,0,1.400000,0.400000,1.400000,0.300000,1.200000,0,1.700000,0.600000,0.200000,0.900000,0,1.100000,0.400000,0,0.200000,1.300000,0.100000,0.800000,0.700000,0.100000,14.100000,0.100000,2649
2020/04/20 06:00:00+00,1,18.100000,2.500000,11.700000,37.800000,80.200000,0,1.700000,128,37.300000,27.100000,,1.800000,33.300000,2.700000,1.500000,1.400000,0.800000,1.600000,2,3.900000,0.700000,2.300000,0.200000,2,1.300000,0.800000,1.500000,0,4.400000,0.600000,0,1.200000,1.500000,1.400000,1.800000,1,1.300000,20.700000,1.100000,2650
2020/04/20 07:00:00+00,1.800000,14.500000,3.500000,15.100000,41.900000,50.900000,0.800000,2.600000,125.900000,42.100000,26.400000,,7,30.100000,3.100000,3.100000,2.200000,2.700000,3.600000,3,7.800000,1.400000,3.600000,0.400000,2.600000,2.400000,1.500000,2.400000,1.200000,4.600000,0.800000,0.400000,2,2.100000,6.600000,2.200000,1.800000,1.700000,20.600000,2.500000,2651
2020/04/20 08:00:00+00,1.900000,12.800000,2.800000,12.400000,36.500000,32.200000,0.700000,1.500000,101.600000,32.200000,21,,10.700000,22,2.700000,3.400000,2.100000,1.200000,2.400000,2.900000,2.600000,,3.300000,0.700000,3.100000,3.100000,1.200000,2.600000,1.200000,2.500000,0.700000,0.900000,1.700000,1.900000,,2,1.100000,1.600000,16.800000,2.200000,2652
2020/04/20 09:00:00+00,1.600000,21.200000,2.100000,8.800000,24.900000,28.600000,0.600000,1.200000,78,25.200000,18.800000,,2.500000,21.600000,2.700000,3.300000,1.900000,0.800000,1.500000,2.600000,2.100000,,4,0.700000,2.300000,2.500000,1.100000,2.100000,1.200000,1.700000,0.600000,1.300000,1.500000,2.500000,,1.700000,1.200000,1.500000,18,2,2653
2020/04/20 10:00:00+00,1.700000,12.500000,2.500000,8.400000,24.700000,29.100000,0.700000,1.100000,82.500000,24.100000,,,1.900000,16.300000,1.900000,3.400000,1.800000,0.400000,1.500000,2.300000,2.100000,1.200000,3.200000,0.800000,1.200000,2.300000,1,2.400000,1.200000,2.300000,0.500000,1.200000,1.500000,2,,1.800000,1.300000,1.400000,21.400000,2,2654
2020/04/20 11:00:00+00,1.700000,7.900000,2.400000,8.600000,21.900000,25.600000,0.500000,1.300000,91.300000,28.700000,,,3.300000,9.300000,1.600000,3.600000,1.800000,1.100000,0.900000,2.400000,2.200000,1.200000,5.600000,0.900000,0.900000,1.900000,0.900000,1.600000,1.200000,2.200000,0.500000,1.100000,1.200000,1.900000,,1.500000,2,1,24.600000,1.700000,2655
2020/04/20 12:00:00+00,1.300000,10.300000,1.400000,10.100000,25.700000,26.400000,0.600000,1.200000,77.800000,21.800000,,,4.900000,12.200000,1.500000,2.400000,1.600000,0.600000,1.300000,1.800000,1.800000,0.900000,2.700000,0.600000,1.100000,1.700000,0.800000,2.100000,1,1.500000,0.500000,0.600000,1.200000,2,,1.300000,0.600000,0.600000,19.800000,1.400000,2656
2020/04/20 13:00:00+00,1.200000,10.400000,1.400000,7.400000,15.200000,19.800000,0.600000,0.700000,65.200000,24.100000,13.900000,,2.400000,10.100000,1.200000,2.300000,1.800000,0.400000,0.900000,1.700000,1.500000,0.500000,3.200000,0.400000,1.100000,1.500000,0.600000,1.700000,0.500000,1.300000,0.300000,0.200000,1.200000,,,1.100000,0.800000,0.500000,14.600000,1.100000,2657
2020/04/20 14:00:00+00,1,10.800000,0.600000,6,25.200000,20.500000,0.300000,0.500000,66.100000,21.700000,14.900000,,2.200000,9.100000,1,2.100000,1.500000,0.300000,1.200000,1.800000,1.800000,0.700000,3.400000,0.400000,0.900000,1.100000,0.500000,1.200000,0.200000,1.400000,0.200000,0,0.400000,,,0.700000,0.400000,0.200000,17.100000,0.800000,2658
2020/04/20 15:00:00+00,0.800000,8,0.900000,6.900000,22.500000,24,0.100000,0.300000,66.800000,,12.500000,,1.100000,8.800000,0.800000,1.500000,1.600000,0,0.300000,1.400000,1.400000,0.600000,3.300000,0.100000,0.600000,1,0.300000,1.200000,0,0.700000,0.100000,0,0.900000,,,0.400000,0.100000,0.200000,16,0.700000,2659
2020/04/20 16:00:00+00,0.500000,6.400000,0.500000,8.500000,22.200000,16.900000,0.100000,0.200000,64.300000,,13.100000,,3.100000,6.500000,0.800000,2.100000,0.900000,0,0.700000,1.100000,1.300000,0.400000,2.300000,0.100000,0.600000,1,0.200000,0.800000,0,1.400000,0.100000,0.100000,0.400000,1.600000,,0.500000,0.600000,0.100000,13.500000,0.600000,2660
2020/04/20 17:00:00+00,0.500000,9.200000,0.300000,7.400000,19.900000,17.300000,0.500000,0.100000,56.700000,,11.100000,,2.500000,5.200000,1,1.300000,1.300000,0,0.700000,0.800000,1.200000,0.300000,1.900000,0,0.500000,0.700000,0.100000,0.700000,0,0.500000,0.100000,0,0.200000,1.300000,,0.900000,0.800000,0,13.100000,0.400000,2661
2020/04/20 18:00:00+00,0.300000,17.800000,0.300000,5.300000,12,14.600000,0,0,48.900000,20.200000,10.100000,,3.100000,6.100000,0.600000,1,0.800000,0,0.800000,0.600000,0.800000,0.100000,1.500000,0.100000,0.700000,0.500000,0.200000,1,0,0.300000,0.100000,0,0,1.200000,,0.300000,0.200000,0,14.700000,0.200000,2662
2020/04/20 19:00:00+00,0.100000,6.600000,0.200000,6.800000,14,16.700000,0,0,41.200000,15.500000,10.900000,,9.600000,4,0.600000,0.700000,0.500000,0,0.300000,0.200000,0.800000,0.100000,1.200000,0,0.400000,0.400000,0,0.700000,0,0.300000,0.100000,0,0,0.800000,,1.300000,0,0,13.400000,0.100000,2663
2020/04/20 20:00:00+00,0.100000,5.400000,0.200000,6,11.200000,16.200000,0,0.100000,36.600000,15.500000,10.300000,,13.400000,2.800000,0.400000,0.600000,0.900000,0,0.700000,0.200000,0.800000,0.100000,0.800000,0,0.200000,0.300000,0,0.600000,0,0,0.100000,0,0,1.100000,,0,0.100000,0,11.400000,0,2664
2020/04/20 21:00:00+00,0.200000,1.800000,0,2.900000,6.700000,10.500000,0,0.100000,32.300000,13.700000,8.400000,,8.800000,2.200000,0.500000,0.500000,0.800000,0,0.800000,0.300000,0.900000,0.200000,0.400000,0.100000,0.200000,0.400000,0,0.600000,0,0.200000,0.100000,0,0,1,,0.200000,0,0,9.200000,0.100000,2665
2020/04/20 22:00:00+00,0.200000,1.800000,0,2.200000,5.700000,8.100000,0,0,25.800000,8.500000,8,,6.400000,0.900000,0.700000,0.300000,0.700000,0,0.600000,0.300000,0.700000,0.200000,0.200000,0,0.400000,0.400000,0.100000,0.600000,0,0.400000,0.100000,0,0,1.300000,,0.200000,0.100000,0,6.300000,0.100000,2666
2020/04/20 23:00:00+00,0.100000,2.400000,0.800000,2.200000,4.600000,10.600000,0,0.100000,24,7.300000,7.200000,,18.900000,1,0.500000,1,0.600000,0.100000,0.700000,0.200000,0.800000,0.200000,0.100000,0,0.200000,0.400000,0.100000,0.600000,0,0.100000,0.200000,0,0,1.500000,,0.100000,0.100000,0,9,0.200000,2667
2020/04/21 00:00:00+00,0.200000,1.200000,0.100000,0.800000,6.100000,8.200000,0,0.100000,25.100000,6.300000,5.500000,,2.700000,0.900000,0.600000,0.400000,0.800000,0,0.400000,0.200000,0.900000,0.300000,0.100000,0,0.400000,0.300000,0.100000,0.500000,0,0.200000,0.200000,0,0,1.600000,,0.100000,0,0,3.300000,0.300000,2668
2020/04/21 01:00:00+00,0.300000,1.500000,0.600000,2.400000,6.700000,7,0,0.100000,18,6.900000,3.300000,,9,0.600000,0.700000,0.100000,1.100000,0.600000,0.500000,0.100000,1,0.300000,0.100000,0,0.200000,0.200000,0.100000,0.300000,0,0,0.200000,0,0,1.300000,,0.200000,0,0,3,0.200000,2669
2020/04/21 02:00:00+00,0.100000,4.300000,0.400000,0.400000,8,13.100000,0,0.100000,44,9,10.300000,,3.700000,0.100000,0.500000,0.100000,1.100000,0,0.800000,0.200000,0.900000,0.200000,0.100000,0,0.700000,0.300000,0.100000,0.500000,0,0,0.200000,0,0,1.200000,,0.200000,0,0,2.700000,0.300000,2670
2020/04/21 03:00:00+00,0.100000,2.800000,0.500000,1,21.200000,21.900000,0,0.100000,35.300000,13.800000,3.100000,,5.600000,1.900000,0.500000,0.300000,0.800000,0,1.200000,0.400000,1,0.300000,0.100000,0,0.500000,0.500000,0.100000,0.600000,0,0,0.300000,0,0,1.100000,,0.100000,0,0,4.900000,0.400000,2671
2020/04/21 04:00:00+00,0.400000,5.500000,0.500000,1.800000,20.600000,30.100000,0.100000,0.100000,67.100000,22.100000,15.100000,,4.900000,9.800000,0.500000,0.300000,1.200000,0,1.600000,0.300000,0.700000,0.200000,0.200000,0,0.500000,0.400000,0.100000,0.900000,0,0,0.400000,0,0,1.200000,,0,0,0.200000,13.200000,0.400000,2672
2020/04/21 05:00:00+00,0.100000,8,0.300000,5.100000,24.500000,48.600000,0,0.300000,85.400000,43.800000,22.400000,,1.400000,13.200000,0.700000,0.800000,0.900000,0,1.600000,0.400000,1,0.400000,1.300000,0,1.200000,0.500000,0.100000,0.700000,0.300000,0.100000,0.400000,0,0,1.300000,,0.100000,0,0,17.500000,0.500000,2673
2020/04/21 06:00:00+00,0.600000,13.200000,1.800000,12.500000,44,83.400000,0,1.300000,146,41.200000,30.400000,,1.200000,37.500000,1.600000,2.500000,1,0.800000,1.800000,1.200000,3.100000,0.700000,1.600000,0.300000,1.200000,1,0.400000,1.300000,0.100000,3.500000,0.500000,0,2.300000,1.600000,,1.300000,0.800000,0.600000,22.400000,1.100000,2674
2020/04/21 07:00:00+00,1.400000,14.600000,3.200000,16.400000,47.900000,58.400000,0.400000,1.900000,135.400000,53.900000,35.800000,,10.900000,42.300000,2.400000,9.100000,2.200000,2.400000,2.400000,2.500000,,1.500000,2.300000,0.500000,2.100000,2.400000,1.300000,2.300000,1.300000,4.500000,0.600000,0.100000,2.200000,1.900000,,2.400000,1.200000,1.300000,23.600000,2,2675
2020/04/21 08:00:00+00,1.700000,15.600000,2,16.800000,61.100000,37.200000,0.900000,1.200000,117,35,30.200000,,7.200000,27.600000,2.100000,5.200000,2.200000,1.800000,2.600000,2.700000,,1.600000,3,0.500000,4.700000,3,0.900000,2.500000,1.400000,2.600000,0.700000,0.700000,1.600000,2.300000,,1.600000,1.300000,1.400000,22,2.200000,2676
2020/04/21 09:00:00+00,1.500000,26,1.600000,12.100000,43.500000,30.800000,0.700000,1.400000,101.200000,35,25.500000,,10.300000,27.500000,1.900000,8.900000,1.700000,1.900000,1.200000,2.300000,7.200000,1.400000,3.300000,0.700000,3.300000,2.100000,0.900000,1.900000,0.800000,2.400000,0.600000,0.700000,1.300000,2.100000,,1.500000,1,2,22,2.100000,2677
2020/04/21 10:00:00+00,1.500000,11.300000,2,12.600000,32.800000,35.300000,0.500000,3.200000,127.800000,33.500000,23.600000,,2.800000,17.900000,1.900000,,1.900000,0.900000,1,2.600000,5.100000,1.200000,8.700000,0.800000,1.300000,2.300000,0.800000,1.800000,,2.200000,0.500000,1.200000,1.500000,2.200000,,1.500000,1.800000,1.500000,21.600000,2.200000,2678
2020/04/21 11:00:00+00,1.100000,21.800000,3.100000,8.800000,38.600000,31.900000,0.500000,2.200000,73.600000,32.400000,18.800000,,10.200000,9,1.400000,,1.700000,0.400000,1,2.400000,3.600000,1.100000,3.400000,0.400000,2.100000,2.100000,0.800000,1.500000,,2.900000,0.500000,1.100000,1.200000,2,,1.600000,1.400000,0.700000,28,1.900000,2679
2020/04/21 12:00:00+00,1.200000,11.900000,3.100000,9.300000,22.600000,29.600000,0.300000,1,87.800000,27.200000,16.900000,,5.500000,15.500000,1.600000,,1.600000,,0.900000,2,1.300000,1,2.900000,0.300000,1,1.600000,0.700000,1.800000,0.500000,2,0.400000,1,1.200000,6.100000,,,1.500000,0.600000,17.200000,1.600000,2680
2020/04/21 13:00:00+00,0.900000,14.100000,0.900000,9.500000,28.600000,22.600000,0.100000,0.700000,69.100000,24.500000,16.200000,,16.600000,9,1.100000,,1.400000,,1.400000,1.800000,1.600000,0.600000,1.700000,0.300000,0.900000,1.500000,0.600000,1.200000,0.100000,1.700000,0.300000,0.400000,1.100000,1.700000,,1,1,0.700000,15.600000,1.200000,2681
2020/04/21 14:00:00+00,0.500000,9,1.100000,6.600000,24.500000,25.800000,0.700000,0.600000,64.700000,26,16.300000,,6.400000,6.900000,0.800000,,1.100000,1.200000,1.400000,1.400000,1.600000,0.600000,2.900000,0.300000,0.900000,1.200000,0.300000,1,0,1.300000,0.200000,0.100000,0.800000,1.500000,,0.700000,0.800000,0.400000,17,1.100000,2682
2020/04/21 15:00:00+00,0.900000,9,0.400000,6.900000,20.700000,19.600000,0.200000,0.400000,70.700000,24.700000,15.700000,,2.400000,9.100000,0.600000,,1.200000,0.100000,0.800000,1.600000,1.200000,0.400000,2.900000,0.100000,1.200000,0.900000,0.200000,0.800000,0,0.600000,0.100000,0.100000,0.700000,1.400000,2.400000,0.600000,1,0,11.600000,0.900000,2683
2020/04/21 16:00:00+00,0.600000,15.500000,0.400000,7.600000,19.800000,27,0.100000,0.100000,77.900000,20.100000,18.800000,,2.700000,8.900000,0.600000,,1.200000,0,0.800000,1.300000,1.200000,0.300000,3,0,0.700000,0.900000,0.200000,1.100000,0,0.400000,0.100000,0,0,1.600000,2.100000,0.700000,0.800000,0,16.100000,0.800000,2684
2020/04/21 17:00:00+00,0.300000,15.500000,0.300000,5.900000,28.800000,22.300000,0,0.100000,62,19.700000,18.500000,,8.900000,9.100000,0.600000,,0.600000,0.400000,0.400000,1.100000,1.300000,0.400000,2.700000,0,0.600000,0.500000,0.100000,0.600000,0,0.300000,0.100000,0,0,1.300000,3.400000,0.500000,0.300000,0,13.800000,0.600000,2685
2020/04/21 18:00:00+00,0.300000,7.400000,0,6,22.600000,23.200000,0.200000,0,51.900000,26.200000,20,,0.900000,5.800000,0.600000,,0.700000,0.100000,0.500000,0.600000,1,0.300000,3.600000,0,0.400000,0.400000,0.100000,0.700000,0,0.300000,0,0,0,1.200000,2.500000,0.500000,0.100000,0,16.800000,0.200000,2686
2020/04/21 19:00:00+00,0.200000,13.900000,0.300000,4.800000,18.300000,33.600000,0,0.300000,28.800000,17.500000,16.500000,,6.300000,5.400000,0.500000,,0.700000,0,0.400000,0.700000,1.300000,0.300000,3.500000,0,0.300000,0.200000,0,0.500000,0,0.200000,0.100000,0,0,1,1.100000,0,0.200000,0,15,0.100000,2687
2020/04/21 20:00:00+00,0.200000,28.300000,2.200000,4.800000,21.500000,34.400000,0.100000,0.200000,28.300000,20.200000,13.300000,,3.500000,3.300000,0.600000,,0.500000,0,0.400000,0.400000,1.300000,0.200000,1.600000,0,0.500000,0.300000,0,0.400000,0,0,0.100000,0,0,1.500000,1.300000,0.100000,0,0,12.500000,0.100000,2688
2020/04/21 21:00:00+00,0.200000,12.900000,1.500000,4.700000,13.200000,22.100000,0.100000,0.600000,28.200000,20.700000,11.500000,,9.300000,5,0.500000,,0.600000,0.100000,0.600000,0.400000,0.700000,0.300000,0.400000,0.100000,0.600000,0.300000,0.100000,1.100000,0.100000,0.300000,0.100000,0,0,1.500000,0.800000,0.300000,0,0,6,0.100000,2689
2020/04/21 22:00:00+00,0.100000,6.900000,0.700000,3,4.100000,17.100000,0,0.500000,14.900000,12.800000,8.100000,,3.800000,2,0.800000,,0.700000,0,1,0.400000,0.600000,0.200000,0.900000,0.100000,0.400000,0.500000,0.100000,0.500000,,0,0.200000,0,0,1.400000,2.100000,0.100000,0,0,9.400000,0.100000,2690
2020/04/21 23:00:00+00,0.100000,8.300000,0.200000,5.300000,5.700000,12.100000,0.200000,0.200000,17.600000,11.500000,7.500000,,10.200000,1.500000,0.700000,,0.700000,0,1.200000,0.300000,0.500000,0.100000,1.100000,0,0.300000,0.300000,0.100000,0.700000,0,0.100000,0.200000,0,0,1.400000,0.800000,0.100000,0,0,11.200000,0.100000,2691
2020/04/22 00:00:00+00,0.300000,3.100000,0.200000,0.200000,3.300000,6.400000,0,0.100000,10,8.700000,4.700000,,5.800000,0.400000,0.400000,,0.800000,0.300000,1.100000,0,0.600000,0.100000,0.700000,0.100000,0.300000,0.200000,0.100000,0.200000,0,0,0.200000,0,0.100000,1.500000,0.600000,0.100000,0,0,3.100000,0.100000,2692
2020/04/22 01:00:00+00,0.100000,4,0.200000,1.100000,4.500000,4.100000,0,0,12.800000,8.600000,1.800000,,4.300000,0.200000,0.600000,,0.800000,0,0.800000,0,0.900000,0.300000,0.700000,0,0.600000,0.300000,0.100000,0.500000,0,0.100000,0.200000,0,0,1.400000,0.500000,0.100000,0,0,4.400000,0.200000,2693
2020/04/22 02:00:00+00,0,5.500000,0.200000,0,9.500000,9.500000,0.100000,0.200000,21.900000,9.300000,3.300000,,2.300000,1.500000,1,,0.500000,0.400000,0.700000,0,0.700000,0.100000,0.700000,0,2.300000,0.300000,0.100000,0.600000,0,0,0.200000,0,0,1.400000,0.500000,0.100000,0,0,4.400000,0.200000,2694
2020/04/22 03:00:00+00,0.100000,10.700000,1.900000,0.500000,14,13.600000,0,0.500000,32.400000,8.100000,5.500000,,7.900000,3.600000,0.600000,,0.500000,0,0.800000,0.100000,0.800000,0.100000,0.400000,0,0.400000,0.300000,0.100000,0.600000,0,0,0.300000,0,0,1.400000,0.500000,0.100000,0,0,1.700000,0.200000,2695
2020/04/22 04:00:00+00,0.300000,14.500000,2.600000,2.300000,22.400000,25.100000,0,0.600000,70.800000,19.600000,16.300000,,0.800000,11.700000,0.700000,,0.500000,0.800000,1.600000,0.100000,0.600000,0.100000,0.700000,0,0.300000,0.300000,0.100000,0.500000,0,0.100000,0.300000,0,0,1.300000,0.600000,0.100000,0.100000,0.400000,4.200000,0.200000,2696
2020/04/22 05:00:00+00,0.200000,30.600000,0.700000,4.100000,33.600000,48.800000,0,0.800000,165.200000,33.800000,40.100000,,0.100000,20.700000,1.600000,,0.900000,0,1,1.300000,0.800000,0.300000,1.700000,0.100000,1.500000,0.400000,0.200000,0.700000,0,0.700000,0.400000,0,0,1.900000,1.400000,0.500000,1.500000,0,6.100000,0.300000,2697
2020/04/22 06:00:00+00,1.200000,80.800000,2.300000,17.100000,47,81.300000,0.200000,1.900000,130.200000,65.800000,47.500000,,6.400000,45.100000,3.800000,,1,1.700000,1.500000,2.100000,4.800000,1.200000,5.700000,0.600000,2.900000,1.100000,0.500000,1.600000,0.600000,3.500000,0.700000,0,0.900000,2,3.600000,0.500000,1.800000,1.400000,10.700000,1.300000,2698
2020/04/22 07:00:00+00,3.700000,27.100000,3.900000,16.900000,57,76.800000,0.100000,4.500000,150.500000,60.800000,52.700000,,13.300000,43.800000,5.500000,,1.800000,4.600000,3,2.900000,,2.600000,2.100000,1.100000,4.800000,2.800000,1.800000,3.300000,1.600000,5.700000,1,0.300000,2,3.300000,11.100000,1.900000,2.800000,2.600000,26.200000,4,2699
2020/04/22 08:00:00+00,2.600000,29.400000,3,18.800000,41.200000,47.900000,0.900000,1.700000,96.800000,39.900000,31.600000,,12.200000,31.700000,3.200000,,2.900000,2.900000,2.700000,3.600000,2.200000,2.100000,4.900000,0.900000,2,4.100000,1.600000,3.400000,1.600000,3.600000,0.700000,1.500000,2,3.500000,11.300000,2.700000,1.700000,1.900000,24.400000,3.400000,2700
2020/04/22 09:00:00+00,1.900000,18.200000,1.900000,12.500000,31.400000,38.100000,0.600000,1.200000,90.500000,30.200000,35.800000,4,7.900000,25.200000,2.400000,,2.300000,2,1.200000,2.800000,1.800000,1.300000,2.900000,0.500000,2.100000,2.600000,1.200000,2.200000,1.200000,1.700000,0.600000,0.900000,1.300000,2.600000,4.900000,2.100000,1.400000,1.800000,25.500000,2.700000,2701
2020/04/22 10:00:00+00,1.800000,18.600000,2.700000,11.600000,,31.700000,0.500000,1.200000,95.100000,38.100000,24.700000,2.300000,4.200000,21.300000,1.600000,,2.300000,3.100000,1.800000,2.700000,,0.900000,3.800000,0.500000,1.300000,2,1.100000,2.200000,1.300000,2.100000,0.300000,0.900000,1.300000,1.900000,3.300000,2.100000,1.500000,1.800000,21,2.600000,2702
2020/04/22 11:00:00+00,1.200000,17.800000,2.100000,8.600000,,36.100000,0.200000,1.700000,85.100000,32.200000,20.500000,1.400000,6.400000,12.200000,1.100000,,2.300000,1.600000,1.500000,1.600000,,0.700000,3.900000,0.200000,0.900000,1.900000,1.100000,2.200000,1,3.300000,0.300000,0.600000,1.200000,1.400000,4.100000,1.500000,1.800000,0.900000,20.800000,2.100000,2703
2020/04/22 12:00:00+00,0.900000,13.800000,1.400000,8,28,28.400000,0.300000,1.200000,79.900000,30.600000,14.700000,2.500000,2.900000,11.200000,1,,1.500000,1.200000,1.200000,1.500000,1,0.500000,2.800000,0.100000,1.300000,1.300000,0.700000,2.300000,0.200000,2,0.200000,0.400000,0.700000,1.700000,1.800000,0.900000,1,0.500000,20.200000,1.400000,2704
2020/04/22 13:00:00+00,0.500000,10.800000,1.100000,6.800000,34.100000,24.100000,0.100000,0.800000,64.600000,23.500000,14.500000,2.100000,3.300000,15.800000,0.900000,,1.100000,0.500000,0.600000,1.200000,1.300000,0.600000,2.100000,0.100000,1,1.100000,0.300000,1,0,1.600000,0.100000,0.200000,0.900000,1.300000,1.700000,0.600000,0.400000,0.100000,13.700000,0.900000,2705
2020/04/22 14:00:00+00,0.800000,12.800000,0.500000,7.400000,28.700000,24.200000,0,0.500000,69.200000,26.200000,19.500000,1,2.600000,9.200000,0.700000,,1,0.200000,0.900000,1.200000,1.600000,0.500000,2.900000,0,0.600000,0.800000,0.200000,0.800000,0,1.100000,0.100000,0,0.100000,1.200000,2,0.700000,0.600000,0.200000,16,0.800000,2706
2020/04/22 15:00:00+00,0.500000,13.500000,0.100000,7.500000,21.100000,27.500000,0.400000,0.400000,64.700000,26,17.100000,0.700000,3.800000,8.600000,0.700000,,1.100000,0.100000,0.800000,1.600000,1.100000,0.300000,2.500000,0.100000,0.600000,0.600000,0.100000,,0,0.800000,0.100000,0,0.100000,1.100000,1.700000,0.900000,0.300000,0,16.800000,0.600000,2707
2020/04/22 16:00:00+00,0.500000,15.200000,0.100000,7,21.900000,28.100000,0.200000,0.100000,61.100000,22,18.600000,0.700000,6.200000,12.700000,0.400000,,1,0.700000,0.200000,1.200000,0.800000,0.300000,5.100000,0,0.700000,0.600000,0.100000,0.800000,0,0.300000,0,0,0.100000,1.200000,3,0.400000,0.400000,0.100000,15.600000,0.600000,2708
2020/04/22 17:00:00+00,0.400000,15.600000,0.100000,7.700000,26.700000,23.900000,0.100000,0,48.900000,22.100000,20.600000,0.300000,8,8.700000,0.900000,,1.100000,0,0.300000,1,1.300000,0.300000,3.700000,0,0.800000,0.500000,0.100000,0.700000,0,0.500000,0,0,0.100000,1.200000,1.800000,0.600000,0.100000,0.100000,15.900000,0.500000,2709
2020/04/22 18:00:00+00,0.200000,24.900000,0.100000,4.900000,19.400000,24.300000,0,0,55.900000,17.300000,19.700000,0,3.900000,6.300000,0.600000,,0.900000,0,1,0.800000,1.400000,0.200000,2.200000,0.100000,0.400000,0.400000,0,0.900000,0,0,0,0,0,1.600000,1.600000,0.400000,0.100000,0,19,0.200000,2710
2020/04/22 19:00:00+00,0.100000,31.700000,0.400000,5.800000,25.900000,37.400000,0,0.100000,36.700000,10.400000,13.900000,0.200000,4.100000,6.500000,0.600000,,0.500000,0,0.300000,0.200000,0.600000,0.100000,4.300000,0,0.400000,0.300000,0,0.300000,0,0.200000,0.100000,0,0,1.400000,1,1.300000,0.200000,0,20.300000,0.100000,2711
2020/04/22 20:00:00+00,0.100000,18.300000,5.600000,8.500000,51.100000,14.800000,0.100000,0.400000,50.300000,13.800000,31.700000,0,20.900000,5.900000,1.100000,,0.500000,0,0.300000,0.300000,1.300000,0.200000,2.300000,0,0.500000,0.300000,0,0.400000,0,0,0.100000,0,0.300000,1.200000,0.600000,0.200000,0,0,12.900000,0.100000,2712
